Transaction Number,Date,Description ,Memo,Category,Transaction Amount,Balance,Temp 1
1001,01/01/2017,BALANCE TRANSER ,From old checking account,Transfer,"$200,000.00","$250,000.00",Occaisional
31650,01/01/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$249,597.50",Occaisional
31617,01/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$144,535.15",Recurring
31618,01/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$134,478.28",Recurring
31621,01/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$131,631.41",Recurring
31623,01/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$113,268.54",Recurring
31620,01/04/2017,DEBIT PURCHASE,Zero Grav Poop Scoop,Pets,"-$2,389.78","$110,878.76",Occaisional
31625,01/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$107,725.11",Recurring
31624,01/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$31,256.84","$76,468.27",Recurring
101523,01/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$2,385.35","$78,853.62",Recurring
31626,01/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$6,523.56","$72,330.06",Recurring
31628,01/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$70,978.04",Recurring
31627,01/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$60,652.41",Recurring
101561,01/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$130,652.41",Recurring
31629,01/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$120,151.89",Recurring
31642,01/11/2017,DEBIT PURCHASE,M. Wells Dinette,Food & Dining,-$406.32,"$119,745.57",Occaisional
31630,01/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$111,682.69",Recurring
31632,01/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$111,679.44",Occaisional
31634,01/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$105,179.44",Recurring
31635,01/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$75,153.09",Recurring
101551,01/15/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$756,572.01","$831,725.10",Recurring
31636,01/16/2017,DEBIT PURCHASE,World Gurning Championships,Entertainment,"-$3,265.11","$828,459.99",Occaisional
101589,01/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$878,459.99",Recurring
31631,01/17/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$878,056.99",Occaisional
31622,01/19/2017,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,"-$8,398.65","$869,658.34",Occaisional
31637,01/20/2017,DEBIT PURCHASE,Napa Valley Wine Train,Food & Dining,"-$1,368.27","$868,290.07",Occaisional
31639,01/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$867,391.75",Recurring
31638,01/21/2017,DEBIT PURCHASE,Secret decoder rings,Clothing & Personal ,-$658.74,"$866,733.01",Occaisional
31640,01/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$854,367.06",Recurring
31641,01/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$849,005.74",Recurring
31644,01/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$840,346.26",Recurring
31643,01/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$837,839.27",Recurring
31646,01/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$835,534.06",Recurring
31645,01/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$819,183.74",Recurring
31648,01/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$816,617.37",Recurring
31649,01/27/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,"-$15,020.32","$801,597.05",Occaisional
31633,01/28/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$64.85,"$801,532.20",Occaisional
31647,01/30/2017,DEBIT PURCHASE,Metal Man Live,Entertainment,"-$25,006.35","$776,525.85",Occaisional
31652,02/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$671,463.50",Recurring
31653,02/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$661,406.63",Recurring
31683,02/03/2017,DEBIT PURCHASE,"Fletwood Mac, Private Show",Entertainment,"-$25,006.35","$636,400.28",Occaisional
31656,02/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$633,553.41",Recurring
31658,02/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$615,190.54",Recurring
31660,02/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$612,036.89",Recurring
31659,02/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$16,856.88","$595,180.01",Recurring
101524,02/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$3,495.32","$598,675.33",Recurring
31661,02/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$7,256.96","$591,418.37",Recurring
31663,02/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$590,066.35",Recurring
31662,02/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$579,740.72",Recurring
101562,02/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$649,740.72",Recurring
31664,02/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$639,240.20",Recurring
31665,02/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$631,177.32",Recurring
31678,02/13/2017,DEBIT PURCHASE,De Kas,Food & Dining,-$180.54,"$630,996.78",Occaisional
31667,02/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$630,993.53",Occaisional
31669,02/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$624,493.53",Recurring
31654,02/14/2017,DEBIT PURCHASE,Self Driving Unicycle ,Shopping,"-$15,654.54","$608,838.99",Occaisional
31670,02/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$578,812.64",Recurring
31666,02/15/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$578,409.64",Occaisional
31673,02/16/2017,DEBIT PURCHASE,Barbie Cafe,Food & Dining,-$321.54,"$578,088.10",Occaisional
31671,02/16/2017,DEBIT PURCHASE,World Toe Wrestling Championships,Entertainment,"-$1,289.11","$576,798.99",Occaisional
101590,02/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$626,798.99",Recurring
31672,02/18/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$626,396.49",Occaisional
31675,02/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$625,498.17",Recurring
31674,02/21/2017,DEBIT PURCHASE,4 dimensional wallet,Clothing & Personal ,"-$10,358.97","$615,139.20",Occaisional
31668,02/21/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$21.95,"$615,117.25",Occaisional
31676,02/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$602,751.30",Recurring
31677,02/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$597,389.98",Recurring
31680,02/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$588,730.50",Recurring
31679,02/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$586,223.51",Recurring
31655,02/24/2017,DEBIT PURCHASE,Psychotherapy Sessions - 12 pack,Pets,"-$3,600.00","$582,623.51",Occaisional
31682,02/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$580,318.30",Recurring
31681,02/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$563,967.98",Recurring
31685,02/26/2017,DEBIT PURCHASE,Solar Powered Running Shoes,Health & Fitness,"-$2,365.52","$561,602.46",Occaisional
31684,02/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$559,036.09",Recurring
31657,02/28/2017,DEBIT PURCHASE,Fife & Drum,Food & Dining,"-$1,365.00","$557,671.09",Occaisional
31687,03/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$452,608.74",Recurring
31688,03/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$442,551.87",Recurring
31691,03/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$439,705.00",Recurring
31693,03/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$421,342.13",Recurring
31695,03/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$418,188.48",Recurring
31694,03/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$15,874.02","$402,314.46",Recurring
101525,03/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$12,375.08","$414,689.54",Recurring
31720,03/06/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$414,287.04",Occaisional
31696,03/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$409,055.39",Recurring
31719,03/07/2017,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,"-$15,020.32","$394,035.07",Occaisional
31698,03/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$392,683.05",Recurring
31697,03/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$382,357.42",Recurring
101563,03/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$452,357.42",Recurring
31712,03/08/2017,DEBIT PURCHASE, De Culinaire Werkplaats,Food & Dining,"-$2,861.21","$449,496.21",Occaisional
